tt,id_bv,name,khoa,gio_kham_bt,gio_kham_ng,gio_kham_dv,kham_dv,ghi_chu,nguoi_dien,link,,,,,,,,,,,,,,,,,,
84,ĐK PKĐK28,Phòng khám đa khoa Phúc Đức thuộc Công ty cổ phần Bệnh viện Tim Tâm Đức,,,,,,,Hồng Đới,https://tamduchearthospital.com/,,,,,,,,,,,,,,,,,,
85,ĐK PKĐK29,Phòng khám đa khoa Tân Thuận thuộc Công ty TNHH Dịch vụ Y tế Tân Thuận,,,,,,,Hồng Đới,Không tìm được,,,,,,,,,,,,,,,,,,
86,ĐK PKĐK30,Phòng khám đa khoa thuộc Chi nhánh 1 - Công ty TNHH Trung tâm Y khoa Phước An,"Khoa Nội 
Khoa Ngoại
Khoa Tai Mũi Họng
Khoa Mắt
Khoa Sản phụ khoa
Khoa Nhi
Khoa Răng Hàm Mặt
Khoa Vật lý trị liệu
Khoa Chẩn đoán hình ảnh
Khoa Xét nghiệm","Thứ 2 - Thứ 7        7:00 am - 12:00 pm | 13:00 pm - 19:00 pm
Chủ nhật - Ngày lễ        7:00 am - 12:00 pm","Thứ 2 - Thứ 7        7:00 am - 12:00 pm | 13:00 pm - 19:00 pm
Chủ nhật - Ngày lễ        7:00 am - 12:00 pm","Thứ 2 - Thứ 7        7:00 am - 12:00 pm | 13:00 pm - 19:00 pm
Chủ nhật - Ngày lễ        7:00 am - 12:00 pm",1,,Hồng Đới,https://ykhoaphuocan.vn/hethong/y-khoa-phuoc-an-1,,,,,,,,,,,,,,,,,,
87,ĐK PKĐK31,Phòng khám đa khoa thuộc Công ty Cổ phần đầu tư và Phát triển Y tế Saint Luke,,,,,,,Hồng Đới,Không tìm được,,,,,,,,,,,,,,,,,,
88,ĐK PKĐK32,Phòng khám đa khoa thuộc Công ty TNHH Phòng khám đa khoa Sky,,Thứ Hai - Thứ Sáu: 7h30 - 17h00 ; Thứ Bảy: 7h30 - 12h00,Thứ Hai - Thứ Sáu: 7h30 - 17h00 ; Thứ Bảy: 7h30 - 12h00,Thứ Hai - Thứ Sáu: 7h30 - 17h00 ; Thứ Bảy: 7h30 - 12h00,1,,Hồng Đới,https://sites.google.com/view/bsminhtri/trang-ch%E1%BB%A7?fbclid=IwAR3G08PVirIloRiQrm-CjdMjKkivFIv9CYVH7nAl74kV3RqbyRjhB-FjRbg,,,,,,,,,,,,,,,,,,
89,ĐK PKĐK33,Phòng khám đa khoa thuộc Công ty TNHH Phòng khám Đa khoa Tâm Trí Sài Gòn,,,,,,,Hồng Đới,Không tìm được,,,,,,,,,,,,,,,,,,
90,ĐK PKĐK34,Phòng khám đa khoa thuộc công ty TNHH Phòng khám đa khoa Thái Hòa,"Khoa xét nghiệm
Khoa Ngoại
Khoa Nhi
Khoa Mắt
Khoa Chẩn đoán hình ảnh
Khoa Răng hàm mặt
Khoa Nội
Khoa Sản phụ khoa",,,,,,Hồng Đới,https://phongkhamthaihoa.com/,,,,,,,,,,,,,,,,,,
91,ĐK PKĐK35,Phòng khám đa khoa thuộc Phòng khám quốc tế Careplus - Chi nhánh Công ty TNHH CityClinic Việt Nam,"Khoa Nội tổng quát
Khoa Nhi
Khoa Nha
Khoa Tim mạch
Khoa Hô hấp
Khoa Gan – Tiêu hóa
Khoa Nội thần kinh
Khoa Mắt
Khoa Tai – Mũi – Họng
Khoa Sản phụ khoa
Khoa Chẩn đoán hình ảnh
Khoa Xét nghiệm
Khoa Da liễu
Tiểu phẩu
","Thứ 2 - Thứ 6: 8:00 - 20:00
- 8:00 - 17:00 (Tất cả các chuyên khoa)
- 17:00 - 20:00 (Chuyên khoa Nhi & Xét nghiệm)
Thứ 7: 8:00 - 17:00 (Tất cả các chuyên khoa)
Chủ nhật: 8:00 - 12:00 (Chuyên khoa Nhi & Xét nghiệm)","Thứ 2 - Thứ 6: 8:00 - 20:00
- 8:00 - 17:00 (Tất cả các chuyên khoa)
- 17:00 - 20:00 (Chuyên khoa Nhi & Xét nghiệm)
Thứ 7: 8:00 - 17:00 (Tất cả các chuyên khoa)
Chủ nhật: 8:00 - 12:00 (Chuyên khoa Nhi & Xét nghiệm)","Thứ 2 - Thứ 6: 8:00 - 20:00
- 8:00 - 17:00 (Tất cả các chuyên khoa)
- 17:00 - 20:00 (Chuyên khoa Nhi & Xét nghiệm)
Thứ 7: 8:00 - 17:00 (Tất cả các chuyên khoa)
Chủ nhật: 8:00 - 12:00 (Chuyên khoa Nhi & Xét nghiệm)",1,,Hồng Đới,https://careplusvn.com/vi/,,,,,,,,,,,,,,,,,,
92,ĐK PKĐK36,Phòng khám đa khoa thuộc Chi nhánh Công ty TNHH phòng khám đa khoa Quốc Tế Sài Gòn,"Khoa Tai mũi họng
Khoa Tiêu hóa - gan mật
Khoa Răng Hàm mặt
Khoa Tim mạch
Khoa Cơ Xương Khớp
Khoa nội
Khoa Da liễu
Khoa Sản phụ khoa
Khoa Mắt
Khoa xét nghiệm
Khoa chẩn đoán hình ảnh","T2 - T7: 07h30 - 19h45 (Khoa Tai Mũi Họng, Khoa Chẩn đoán hình ảnh)
T2 - T7: 07h30 - 16h30 (Các khoa còn lại)","T2 - T7: 07h30 - 19h45 (Khoa Tai Mũi Họng, Khoa Chẩn đoán hình ảnh)
T2 - T7: 07h30 - 16h30 (Các khoa còn lại)","T2 - T7: 07h30 - 19h45 (Khoa Tai Mũi Họng, Khoa Chẩn đoán hình ảnh)
T2 - T7: 07h30 - 16h30 (Các khoa còn lại)",1,,Hồng Đới,https://taimuihongsg.com/,,,,,,,,,,,,,,,,,,
93,ĐK PKĐK37,Phòng khám đa khoa thuộc công ty TNHH phòng khám đa khoa Liên Tâm,"Khoa Nội tổng quát
Khoa Nội tim mạch
Khoa Ngoại - chấn thương chỉnh hình
Khoa Tai Mũi Họng
Khoa Sản- phụ khoa",Liên hệ trực tiếp,Liên hệ trực tiếp,Liên hệ trực tiếp,1,,Hồng Đới,https://pkdklientam.com.vn/,,,,,,,,,,,,,,,,,,
94,ĐK PKĐK38,Phòng khám đa khoa thuộc Công ty Cổ phần Bệnh viện Y Dược sài Gòn,"Khoa Nội 
Khoa Sản phụ khoa
Khoa Chẩn đoán hình ảnh
Khoa Răng Hàm Mặt
Khoa Tai Mũi Họng
Khoa Mắt
Khoa Da liễu","Sáng: 07:30 - 11:30
Chiều: 13:30 - 20:00
(Thứ 2 - Chủ nhật)","Sáng: 07:30 - 11:30
Chiều: 13:30 - 20:00
(Thứ 2 - Chủ nhật)","Sáng: 07:30 - 11:30
Chiều: 13:30 - 20:00
(Thứ 2 - Chủ nhật)",1,,Hồng Đới,http://benhvienyduocsaigon.com/,,,,,,,,,,,,,,,,,,
95,ĐK PKĐK39,Phòng khám đa khoa thuộc Công ty TNHH Y tế Hòa Hảo,,,,,,,Hồng Đới,Không tìm được,,,,,,,,,,,,,,,,,,
96,ĐK PKĐK40,Phòng khám đa khoa thuộc Công ty TNHH phòng khám đa khoa Quốc Tế Nhân Hậu,"Khoa Nội soi
Khoa xét nghiệm, chẩn đoán hình ảnh
Khoa Tai Mũi Họng
Khoa Sản phụ khoa
Khoa Răng hàm mặt
","T2-T7: 06h00 - 20h00
CN: 06h00-11h30","T2-T7: 06h00 - 20h00
CN: 06h00-11h30","T2-T7: 06h00 - 20h00
CN: 06h00-11h30",1,,Hồng Đới,http://nhanhauclinic.com.vn/,,,,,,,,,,,,,,,,,,
97,ĐK PKĐK41,Phòng khám đa khoa - Trung tâm xét nghiệm và chẩn đoán y khoa- Medical Diag Center,"Khoa Nội
Khoa Tai mũi họng
Khoa Răng Hàm Mặt
Khoa Da liễu
Khoa Nhi
Khoa Phụ Khoa
Khoa Mắt","T2 - T7: 7h30 sáng - 12 trưa / 1 trưa - 4h30 chiều
CN: 7h30 sáng - 11h30 sáng (trừ khám chuyên khoa: tai mũi họng, nha, mắt, phụ, ngoại, da liễu)","T2 - T7: 7h30 sáng - 12 trưa / 1 trưa - 4h30 chiều
CN: 7h30 sáng - 11h30 sáng (trừ khám chuyên khoa: tai mũi họng, nha, mắt, phụ, ngoại, da liễu)","T2 - T7: 7h30 sáng - 12 trưa / 1 trưa - 4h30 chiều
CN: 7h30 sáng - 11h30 sáng (trừ khám chuyên khoa: tai mũi họng, nha, mắt, phụ, ngoại, da liễu)",1,,Hồng Đới,https://www.diag.vn/ve-diag,,,,,,,,,,,,,,,,,,
98,ĐK PKĐK42,Phòng khám đa khoa thuộc Công ty TNHH Phòng khám đa khoa Pháp Anh,"Khoa Khám bệnh
Khoa Nội tổng hợp
Khoa Ngoại tổng hợp
Khoa Tai Mũi Họng
Khoa Răng Hàm Mặt
Khoa Chẩn đoán hình ảnh
Khoa xét nghiệm
Khoa nội soi tiêu hóa","Thứ 2 - Thứ 7: 4h đến 18h
Chủ Nhật: 4h đến 12h","Thứ 2 - Thứ 7: 4h đến 18h
Chủ Nhật: 4h đến 12h","Thứ 2 - Thứ 7: 4h đến 18h
Chủ Nhật: 4h đến 12h",1,,Hồng Đới,https://phongkhamphapanh.com/,,,,,,,,,,,,,,,,,,
99,ĐK PKĐK43,Phòng khám đa khoa thuộc Chi nhánh 2 đường Ba Tháng Hai - Công ty TNHH Trung tâm Y khoa Phước An,"Khoa Nội 
Khoa Ngoại
Khoa Tai Mũi Họng
Khoa Mắt
Khoa Sản phụ khoa
Khoa Nhi
Khoa Răng Hàm Mặt
Khoa Vật lý trị liệu
Khoa Chẩn đoán hình ảnh
Khoa Xét nghiệm","Thứ 2 - Thứ 7: 7:00 am - 12:00 pm | 13:00 pm - 19:00 pm
Chủ nhật - Ngày lễ: 7:00 am - 12:00 pm","Thứ 2 - Thứ 7: 7:00 am - 12:00 pm | 13:00 pm - 19:00 pm
Chủ nhật - Ngày lễ: 7:00 am - 12:00 pm","Thứ 2 - Thứ 7: 7:00 am - 12:00 pm | 13:00 pm - 19:00 pm
Chủ nhật - Ngày lễ: 7:00 am - 12:00 pm",1,,Hồng Đới,https://ykhoaphuocan.vn/hethong/y-khoa-phuoc-an-2,,,,,,,,,,,,,,,,,,
100,ĐK PKĐK44,Phòng khám đa khoa thuộc Công ty Cổ phần Dịch vụ Đầu tu Saigon Healthcare,"Khoa Tim mạch
Khoa Nhi
Khoa Tiêu hóa
Khoa Xương khớp","Từ Thứ 2 - Thứ 7
Buổi sáng : Từ 6:00 - 11:30
Buổi chiều : Từ 13:00 - 18:00","Từ Thứ 2 - Thứ 7
Buổi sáng : Từ 6:00 - 11:30
Buổi chiều : Từ 13:00 - 18:00","Từ Thứ 2 - Thứ 7
Buổi sáng : Từ 6:00 - 11:30
Buổi chiều : Từ 13:00 - 18:00",1,,Hồng Đới,http://www.saigonhealthcare.vn/index.html,,,,,,,,,,,,,,,,,,
101,ĐK PKĐK45,Phòng khám đa khoa thuộc Chi nhánh Công ty Cổ phần Đầu tư Khang Minh - Trung tâm Y khoa Kỳ Hòa,"Khoa Xét nghiệm
Khoa Tai Mũi Họng
Khoa Mắt
Nha Khoa
Khoa Sản
Khoa Chẩn đoán hình ảnh (Nội soi, siêu âm, X-quang)","T2-T7: 06h30-19h00
CN: 07h00 - 11h30","T2-T7: 06h30-19h00
CN: 07h00 - 11h30","T2-T7: 06h30-19h00
CN: 07h00 - 11h30",1,,Hồng Đới,http://www.ykhoakyhoa.vn/,,,,,,,,,,,,,,,,,,
102,ĐK PKĐK46,Phòng khám đa khoa thuộc Công ty Cổ phần Thương mại và đầu tư Y tế Y Việt - Phòng khám bệnh viện Đại học Y Dược 1,"Khoa Chẩn đoán hình ảnh
Khoa Cơ-xương-khớp
Khoa Nhi
Khoa Sản - Phụ Khoa
Khoa Tai Mũi Họng
Khoa Tim mạch
Khoa hô hấp và miễn dịch di ứng lâm sàng
Khoa Nội soi
Khoa tiêu hóa gan mật
Khoa xét nghiệm
Khoa ngoại",T2-T7: 07h30-16h30,T2-T7: 07h30-16h30,T2-T7: 07h30-16h30,1,,Hồng Đới,https://www.umcclinic.com.vn/,,,,,,,,,,,,,,,,,,
103,ĐK PKĐK47,Phòng khám đa khoa thuộc Công ty TNHH Một thành viên Phòng khám đa khoa An Phúc,"Khoa Nội tổng quát
Khoa Chẩn đoán hình ảnh
Khoa Cơ xương khớp
Khoa Tai Mũi Họng
Khoa Sản phụ khoa
Khoa Nhi
Khoa Răng Hàm Mặt
Khoa Da liễu
Khoa Mắt","Sáng : 07:00 - 11:30
Chiều : 13:00 - 16:30
Tối : 17:00 - 20:00
Chủ nhật
Sáng : 07:00 - 11:30","Sáng : 07:00 - 11:30
Chiều : 13:00 - 16:30
Tối : 17:00 - 20:00
Chủ nhật
Sáng : 07:00 - 11:30","Sáng : 07:00 - 11:30
Chiều : 13:00 - 16:30
Tối : 17:00 - 20:00
Chủ nhật
Sáng : 07:00 - 11:30",1,,Hồng Đới,http://phongkhamanphuc.vn/,,,,,,,,,,,,,,,,,,
104,ĐK PKĐK48,Phòng khám đa khoa thuộc Công ty TNHH Phòng khám Đa khoa Ngọc Minh,"Khoa Nội soi tiêu hóa
Khoa Hô hấp
Khoa Tiêu hóa - Gan mật
Khoa Nội tiết
Khoa Tim mạch - lão học
Khoa Tai Mũi họng
Khoa Mắt
Khoa Răng Hàm Mặt
Khoa Nội Thận
Khoa Nội Thần Kinh
Khoa Ngoại tổng quát
Khoa Ngoại tiết niệu","– Sáng: Từ 06:00 đến 11:30
– Chiều: Từ 13:30 đến 17:00
– Tối: Từ 17:00 đến 20:00
– Chủ nhật: Từ 06:00 đến 12:00","– Sáng: Từ 06:00 đến 11:30
– Chiều: Từ 13:30 đến 17:00
– Tối: Từ 17:00 đến 20:00
– Chủ nhật: Từ 06:00 đến 12:00","– Sáng: Từ 06:00 đến 11:30
– Chiều: Từ 13:30 đến 17:00
– Tối: Từ 17:00 đến 20:00
– Chủ nhật: Từ 06:00 đến 12:00",1,,Hồng Đới,https://pkdkngocminh.com.vn/,,,,,,,,,,,,,,,,,,
105,ĐK PKĐK49,Phòng khám đa khoa thuộc Công ty TNHH Y khoa Ngọc Tâm,,,,,,,Hồng Đới,Không tìm được,,,,,,,,,,,,,,,,,,
106,ĐK PKĐK50,Phòng khám đa khoa thuộc Công ty TNHH Y - Dược Thái Anh,"Khoa Nội tổng quát
Khoa Răng hàm mặt
Khoa Sản phụ khoa
Khoa Ngoại tổng quát
Khoa Tai mũi họng
Khoa Mắt",Thứ 2 – Thứ 7: 07.30 – 20.00,Thứ 2 – Thứ 7: 07.30 – 20.00,Thứ 2 – Thứ 7: 07.30 – 20.00,1,,Hồng Đới,http://phongkhamthaianh.com/,,,,,,,,,,,,,,,,,,
107,ĐK PKĐK51,Phòng khám đa khoa thuộc Công ty TNHH y tế Hoà Hảo,"Khoa Thần kinh
Khoa Nội tổng quát
Khoa Nội tiết
Khoa Sản phụ khoa
Khoa Da liễu
Khoa Tiêu hóa - gan mật
Khoa Tim mạch
Khoa Tai mũi họng
Khoa Mắt","Hoạt động : Từ  4 giờ đến 19 giờ mỗi ngày
Ngày lễ và Chủ Nhật : Từ 4 giờ đến 12 giờ","Hoạt động : Từ  4 giờ đến 19 giờ mỗi ngày
Ngày lễ và Chủ Nhật : Từ 4 giờ đến 12 giờ","Hoạt động : Từ  4 giờ đến 19 giờ mỗi ngày
Ngày lễ và Chủ Nhật : Từ 4 giờ đến 12 giờ",1,,Hồng Đới,https://medic.com.vn/,,,,,,,,,,,,,,,,,,
108,ĐK PKĐK52,Phòng khám đa khoa thuộc Công ty Cổ phần Đầu tư Y Dược 99,,,,,,,Hồng Đới,Không tìm được,,,,,,,,,,,,,,,,,,
109,ĐK PKĐK53,Phòng khám đa khoa thuộc Chi nhánh Công ty TNHH Y Tế Thiên Ngọc,,,,,,,Hồng Đới,Không tìm được,,,,,,,,,,,,,,,,,,
110,ĐK PKĐK54,Phòng khám đa khoa thuộc Công ty TNHH Phòng khám đa khoa Thuận Kiều,"Khoa Xét nghiệm
Khoa Mắt
Khoa Da liễu
Khoa Tai Mũi Họng
Khoa Sản-phụ khoa
Khoa Răng Hàm Mặt
Khoa Nội tổng quát
Khoa Ngoại tổng quát
Khoa Chuẩn đoán hình ảnh",Từ T2-CN: 6h30 - 19h00,Từ T2-CN: 6h30 - 19h00,Từ T2-CN: 6h30 - 19h00,1,,Hồng Đới,https://phongkhamthuankieu.vn/,,,,,,,,,,,,,,,,,,
111,ĐK PKĐK55,Phòng khám đa khoa thuộc Công ty TNHH Y tế Đại Phước,"Khoa Tiêu hóa - Gan mật
Khoa Nhi
Khoa Tim mạch - Nội tiết
Khoa Sản-Phụ Khoa
Khoa Thận - Nam khoa
Khoa Tai - Mũi -Họng
Khoa Nội thần kinh
Khoa Nội Tiết
Khoa Cơ Xương khớp
Khoa Chẩn đoán hình ảnh
Khoa Da liễu
Khoa Tâm lý
Khoa Ngoại
Khoa Hô hấp
Khoa xét nghiệm
Khoa Răng hàm mặt
Khoa Ngoại khoa Thẩm mỹ
Khoa y học cổ truyền - PHCN
KHoa Nội soi Tiêu hóa","Thứ 2 - Thứ 7
Sáng: 06:00 đến 11:30
Chiều: 13:00 đến 20h00","Thứ 2 - Thứ 7
Sáng: 06:00 đến 11:30
Chiều: 13:00 đến 20h00","Thứ 2 - Thứ 7
Sáng: 06:00 đến 11:30
Chiều: 13:00 đến 20h00",1,,Hồng Đới,http://phongkhamdaiphuoc.vn/trang-chu,,,,,,,,,,,,,,,,,,
112,ĐK PKĐK56,Phòng khám đa khoa thuộc Công ty TNHH Phòng khám đa khoa Sài Gòn,,,,,,,Hồng Đới,https://phongkhamdakhoasaigon.com/gioi-thieu/,,,,,,,,,,,,,,,,,,
113,ĐK PKĐK57,Phòng khám đa khoa thuộc Công ty TNHH Thương mại và Dịch vụ Phòng khám đa khoa Nam Sài Gòn,"KHOA LIÊN CHUYÊN KHOA (PHÒNG KHÁM MẮT - RĂNG HÀM MẶT - TAI MŨI HỌNG - SẢN PHỤ KHOA)
KHOA CẤP CỨU & KHÁM BỆNH
KHOA HỒI SỨC TÍCH CỰC (ICU)
KHOA NGOẠI TỔNG HỢP - UNG BƯỚU
KHOA NỘI TỔNG HỢP
KHOA NGOẠI THẦN KINH
KHOA PHẪU THUẬT GÂY MÊ HỒI SỨC 
KHOA CHẤN THƯƠNG CHỈNH HÌNH & Y HỌC THỂ THAO 
KHOA XÉT NGHIỆM
KHOA CHẨN ĐOÁN HÌNH ẢNH 
KHOA THĂM DÒ CHỨC NĂNG
KHOA VẬT LÝ TRỊ LIỆU - PHỤC HỒI CHỨC NĂNG
KHOA DƯỢC ",,,,,,Vy Lê,http://benhviennamsaigon.com.vn/,,,,,,,,,,,,,,,,,,
114,ĐK PKĐK58,Phòng khám đa khoa thuộc Công ty TNHH Phòng khám đa khoa Bác sĩ Gia đình Phú Đức,"Vật lý trị liệu 
Cận Lâm sàng 
Chuyên khoa 
- Chuyên khoa nội 
- Chuyên  khoa  ngoại  
- Tai mũi họng  
- Khoa mắt  
- Nhi khoa
- Khám sức khoẻ tổng quát    
- Tầm soát ung thư  ",,,,"Khám tại nhà 
- khám  bệnh tại nhà  
- truyền dịch  tại nhà 
- xét  nghiệm tại nhà 
- dịch vụ khác ",,Vy Lê,https://bacsigiadinhphuduc.com/,,,,,,,,,,,,,,,,,,
115,ĐK PKĐK59,Phòng khám đa khoa Hưng Lộc thuộc Doanh nghiệp tư nhân Phòng khám đa khoa Hưng Lộc,"- Khám sức khỏe TT14: Khám sức khỏe doanh nghiệp; Khám sức khỏe thẻ xanh, Khám sức khỏe Lái xe.
- Khám sản phụ, nhi khoa, nội tổng quát
- Tiêm ngừa vắc-xin
- Rút máu Xét nghiệm tại nhà 
- Nội soi, X-Quang
- Siêu âm 
- Xét nghiệm: Hơn 100 kỹ thuật Xét nghiệm đạt chuẩn ATSH cấp I.","Thứ Hai - Thứ Bảy: Từ 7g00 đến 20g00. 
Chủ Nhật: Từ 7g00 đến 12g00",,,,,Vy Lê,https://datkham.youmed.vn/chi-tiet-phong-kham/phong-kham-da-khoa-hung-loc ,,,,,,,,,,,,,,,,,,
116,ĐK PKĐK60,Phòng khám đa khoa thuộc Chi nhánh Công ty TNHH Phòng khám đa khoa Phú Lâm - trung tâm Y khoa Phú Lâm,"Khoa ngoại 
Khoa nội  
Khoa sản 
Nhi khoa  
Khoa mắt  
Tai - mũi  - mọng  
Răng  - hàm  - mặt  
Khoa  da liễu 
Khoa xét nghiệm 
Chuẩn đoán hình ảnh  ","T2 - T6: 7h30 - 12h; 13h30 - 17h 00.
T7: Sáng 7h30 - 12h00 ",,,,,Vy Lê,http://phulammedics.com/  ,,,,,,,,,,,,,,,,,,
117,ĐK PKĐK61,Phòng khám đa khoa thuộc Công ty Cổ phần Phòng khám Đa khoa Thành An,,,,,,,Vy Lê, https://www.facebook.com/pkdkthanhan/ ,,,,,,,,,,,,,,,,,,
118,ĐK PKĐK62,Phòng khám đa khoa thuộc Công ty TNHH Một thành viên Đầu tư và Dịch vụ Việt Phước,"KHOA NHI 
KHOA DA LIỄU
KHOA HỒI SỨC - CẤP CỨU
KHOA TAI MŨI HỌNG
KHOA CHẨN ĐOÁN HÌNH ẢNH
KHOA XÉT NGHIỆM
NHA KHOA
SIÊU ÂM
SẢN PHỤ KHOA
KHOA NỘI TỔNG QUÁT
NGOẠI KHOA",7:00 - 21:00 ,,,,,Vy Lê,http://www.dakhoavietphuoc.com/ ,,,,,,,,,,,,,,,,,,
119,ĐK PKĐK63,Phòng khám đa khoa thuộc Công ty TNHH Phòng khám Bảo An Khang,"Phục hồi chức năng  - vật lí trị liệu  
Da liễu  
Nha khoa  
tai mũi họng  
Nhi  
Sản  
Ngoại  
Nội  tỏng  quát  ",,,,"Khám và điều trị các chuyên khoa  
Khám sức khoẻ doanh nghiệp  
Khám sức khoẻ cá nhân  
",,Vy Lê,http://bakclinic.prweb.com.vn/,,,,,,,,,,,,,,,,,,
120,ĐK PKĐK64,Phòng khám đa khoa thuộc Công ty TNHH Phòng khám đa khoa Phước Linh,,,,,,,Vy Lê, https://www.facebook.com/pkdkphuoclinh ,,,,,,,,,,,,,,,,,,
121,ĐK PKĐK65,Phòng khám đa khoa (Phòng khám số 2) thuộc Công ty TNHH Phòng khám Gia đình Thành phố Hồ Chí Minh ,,,,,,,Vy Lê,https://www.vietnammedicalpractice.com/care1/vn/v%25E1%25BB%2581-ch%25C3%25BAng-t%25C3%25B4i/ch%25C3%25A0o-m%25E1%25BB%25ABng-%25C4%2591%25E1%25BA%25BFn-v%25E1%25BB%259Bi-ph%25C3%25B2ng-kh%25C3%25A1m-care1 ,,,,,,,,,,,,,,,,,,
122,ĐK PKĐK66,Phòng khám đa khoa thuộc Chi nhánh Công ty TNHH Vì Dân,"Khoa Chẩn Đoán Hình Ảnh
Khoa Chủng Ngừa
Khoa Da Liễu
Khoa Ngoại Tổng Quát
Khoa Nội Tiêu Hóa
Khoa Nội Tổng Quát
Khoa Nội Tuần Hoàn
Khoa Tai Mũi Họng
Khoa Thận - Nội tiết
Nha Khoa
Nhi Khoa
Phụ Khoa
Sản Khoa","CN:07:30 - 11:30
T2,T3,T4,T5,T6,T7:07:30 - 17:30",,,,,Vy Lê,https://timbenhvien.vn/chi-tiet/phong-kham-da-khoa-vi-dan/2038 ,,,,,,,,,,,,,,,,,,
123,ĐK PKĐK67,Phòng khám đa khoa thuộc Công ty Cổ phần Phòng khám Olympus Gia Mỹ,"Nội khoa
Ngoại khoa, khám và tiểu phẫu tổng quát, u bướu
Sinh thiết và chọc hút u bướu bằng kim nhỏ (FNA)
Tư vấn phẫu thuật
Nha khoa
Phụ khoa
Tai – mũi – họng
Khám mắt – đo mắt
Nội soi Tai – Mũi – Họng
Nội soi Tiêu hóa","Thứ Hai - thứ Bảy: 06h00- 19h00
Chủ nhật: 06h00-12h00",,,,,Vy Lê,http://olympusgiamy.com.vn/,,,,,,,,,,,,,,,,,,
124,ĐK PKĐK68,Phòng khám đa khoa thuộc Khoa khám bệnh Trung tâm Y tế Quận Bình Thạnh,"Khám thai, phụ khoa 
Khám lao 
Khám bác sĩ gia đình 
Khám HIV/AIDS",,,,,,Vy Lê,http://trungtamytebinhthanh.medinet.gov.vn/phong-kham-da-khoa-c4741.aspx,,,,,,,,,,,,,,,,,,
125,ĐK PKĐK69,Phòng khám đa khoa thuộc công ty TNHH Phòng khám đa khoa Jio Health,"Nhi khoa 
Khám sức khoẻ định kì 
Khám tổng quát 
Điều dưỡng tại nhà 
Tim mạch 
Nội tiết 
Thận - tiết niệu 
Chăm sóc thai sản 
Chăm sóc sức khoẻ thị lực 
Da liễu 
Tầm soát ung thư di truyền 
Dị ứng, miễn dịch ",,,,,"- Bác sĩ đến nhà 
- Nhà thuốc trực tuyến (giao tận nhà) 
- Tư vấn sức khoẻ từ xa qua video + chat",Vy Lê,https://jiohealth.com/,,,,,,,,,,,,,,,,,,
126,ĐK PKĐK70,Phòng khám đa khoa thuộc Công ty trách nhiệm hữu hạn Phòng khám Đa khoa Quốc tế Hàng Xanh,"Khoa nội tổng quát 
Khoa ngoại tổng quát 
Khoa tai mũi họng 
Khoa răng hàm mặt 
Khoa mắt 
Khoa cấp cứu 
Khoa tiêm chủng 
Khoa xét nghiệm 
Khoa CĐHA 
Khoa da liễu 
Sản phụ khoa ",,,,"Khám bảo hiểm y tế 
Khám sức khoẻ tổng quát 
Khám sức khoẻ công ty ",,Vy Lê, https://phongkhamhangxanh.vn/,,,,,,,,,,,,,,,,,,
127,ĐK PKĐK71,Phòng khám đa khoa thuộc Công ty Cổ phần Phòng khám đa khoa Thiên Ý Củ Chi,," Thứ 2 đến Thứ 6 hàng tuần, 09:00 đến 20:00. ",,,"Cấp cứu 24/24
Khám bảo hiểm y tế
Khám và điều trị các bệnh về xương khớp
Khám và điều trị bệnh lý về cột sống
Khám và điều trị các bệnh ngoài da
Khám và điều trị các bệnh lý tiêu hóa
Khám và điều trị các bệnh lý gan thận
Khám và điều trị trĩ
Phục hồi chức năng
Chuyên kê thuốc theo thang, thuốc chế phẩm
Châm cứu
Day ấn huyệt
Điện châm
Kéo giãn cột sống
Khám sức khỏe tổng quát cho cơ quan, xí nghiệp
Khám sức khỏe cho người xin việc, thi lái xe",,Vy Lê,"https://thuocdantoc.vn/phong-kham-da-khoa-thien-y-huyen-cu-chi-tp-hcm.html 

 https://www.facebook.com/pkdkthieny/ 

",,,,,,,,,,,,,,,,,,
128,ĐK PKĐK72,Phòng khám đa khoa thuộc Công ty TNHH Dịch vụ Y tế Thiện Phước,"Khoa Cấp cứu
Khoa Chẩn đoán hình ảnh
Khoa Nội tổng quát
Khoa Ngoại tổng quát
Khoa Xét nghiệm
Nhi khoa
Sản khoa
Phụ khoa
Nha khoa",,,,"Hồi sức cấp cứu và chống độc
Chẩn đoán hình ảnh
Xét nghiệm
Khám & điều trị bệnh Nhi
Khám & điều trị bệnh Răng Hàm Mặt
Khám & điều trị bệnh Sản – Phụ khoa
Khám & điều trị bệnh Ngoại khoa
Khám & điều trị bệnh Nội khoa.",,Vy Lê,https://thuocdantoc.vn/phong-kham-da-khoa-thien-phuoc-huyen-cu-chi.html ,,,,,,,,,,,,,,,,,,
129,ĐK PKĐK73,Phòng khám đa khoa thuộc Công ty TNHH Tân Quy,,Cả tuần từ 7:00 - 21:00 ,,,"Cấp cứu 24/24
Khám & điều trị bệnh nội khoa
Khám & điều trị bệnh ngoại khoa
Khám & điều trị bệnh Tai Mũi Họng
Khám & điều trị bệnh Răng Hàm Mặt
Khám & điều trị bệnh Da liễu
Phục hồi chức năng
Tiêm ngừa
Xét nghiệm
Siêu âm
X-quang
Y học cổ truyền.",,Vy Lê,https://phong-kham-a-khoa-tan-quy.business.site/ ,,,,,,,,,,,,,,,,,,
